"HostName","ControlId","ControlName","Owner","Mode","Status","Action","EvaluatedAtUtc","DesiredState","ActualState","DifferingProperties","Message"
"MM-DC1.mathiasmotron.com","DSC-01-Spooler","Print Spooler stopped and disabled","DSC","Audit","NonCompliant","Test","2026-09-25T11:20:17.3087211Z","{""Name"":""Spooler"",""Ensure"":""Present"",""State"":""Stopped"",""StartupType"":""Disabled""}","{""Name"":""Spooler"",""Ensure"":""Present"",""State"":""Running"",""StartupType"":""Automatic""}","State, StartupType",""
"MM-DC1.mathiasmotron.com","DSC-02-SMB1","SMB server protocol version 1 disabled","GPO","Audit","Compliant","Test","2026-09-25T11:20:26.5311437Z","{""IsSingleInstance"":""Yes"",""EnableSMB1Protocol"":false}","{""IsSingleInstance"":""Yes"",""EnableSMB1Protocol"":false}","",""
"MM-DC1.mathiasmotron.com","DSC-02-Signing","SMB server signing required","GPO","Audit","Compliant","Test","2026-09-25T11:20:34.2599181Z","{""IsSingleInstance"":""Yes"",""RequireSecuritySignature"":true}","{""IsSingleInstance"":""Yes"",""RequireSecuritySignature"":true}","",""
"MM-DC1.mathiasmotron.com","DSC-03-Logon","Logon audit: success and failure","GPO","Audit","Compliant","Test","2026-09-25T11:20:42.3202693Z","{""Name"":""Logon"",""AuditFlag"":""Success And Failure"",""Ensure"":""Present""}","{""Name"":""Logon"",""AuditFlag"":""Success and Failure"",""Ensure"":""Present""}","AuditFlag",""
"MM-DC1.mathiasmotron.com","DSC-03-Accounts","User account management audit: success and failure","GPO","Audit","Compliant","Test","2026-09-25T11:20:49.0174762Z","{""Name"":""User Account Management"",""AuditFlag"":""Success And Failure"",""Ensure"":""Present""}","{""Name"":""User Account Management"",""AuditFlag"":""Success and Failure"",""Ensure"":""Present""}","AuditFlag",""
"MM-DC1.mathiasmotron.com","DSC-03-DirectoryChanges","Directory service changes audit: success","GPO","Audit","NonCompliant","Test","2026-09-25T11:20:56.3666816Z","{""Name"":""Directory Service Changes"",""AuditFlag"":""Success"",""Ensure"":""Present""}","{""Name"":""Directory Service Changes"",""AuditFlag"":""Success and Failure"",""Ensure"":""Absent""}","AuditFlag, Ensure",""
"MM-DC1.mathiasmotron.com","DSC-04-Security","Security log: 1 GiB, overwrite oldest events","DSC","Audit","NonCompliant","Test","2026-09-25T11:21:04.7586567Z","{""LogName"":""Security"",""MaximumSizeInBytes"":1073741824,""LogMode"":""Circular""}","{""LogName"":""Security"",""MaximumSizeInBytes"":134217728,""LogMode"":""Circular""}","MaximumSizeInBytes",""
"MM-DC1.mathiasmotron.com","DSC-04-System","System log: 1 GiB, overwrite oldest events","DSC","Audit","NonCompliant","Test","2026-09-25T11:21:12.1563722Z","{""LogName"":""System"",""MaximumSizeInBytes"":1073741824,""LogMode"":""Circular""}","{""LogName"":""System"",""MaximumSizeInBytes"":20971520,""LogMode"":""Circular""}","MaximumSizeInBytes",""
"MM-DC1.mathiasmotron.com","DSC-04-Directory","Directory Service log: 1 GiB, overwrite oldest events","DSC","Audit","NonCompliant","Test","2026-09-25T11:21:19.3420832Z","{""LogName"":""Directory Service"",""MaximumSizeInBytes"":1073741824,""LogMode"":""Circular""}","{""LogName"":""Directory Service"",""MaximumSizeInBytes"":1052672,""LogMode"":""Circular""}","MaximumSizeInBytes",""
"MM-DC1.mathiasmotron.com","DSC-05-Signing","Explicit LDAP signing policy: Require signing","GPO","Audit","Compliant","Test","2026-09-25T11:21:26.3304196Z","{""Key"":""HKLM:\\SYSTEM\\CurrentControlSet\\Services\\NTDS\\Parameters"",""ValueName"":""LDAPServerIntegrity"",""ValueType"":""DWord"",""ValueData"":[""2""],""Ensure"":""Present""}","{""Key"":""HKLM:\\SYSTEM\\CurrentControlSet\\Services\\NTDS\\Parameters"",""ValueName"":""LDAPServerIntegrity"",""ValueType"":""DWord"",""ValueData"":[""2""],""Ensure"":""Present""}","Key","Explicit policy value check only; no inference about implicit LDAP defaults or effective enforcement."
"MM-DC1.mathiasmotron.com","DSC-05-ChannelBinding","Explicit LDAP channel binding policy: Always","GPO","Audit","Compliant","Test","2026-09-25T11:21:33.4531384Z","{""Key"":""HKLM:\\SYSTEM\\CurrentControlSet\\Services\\NTDS\\Parameters"",""ValueName"":""LdapEnforceChannelBinding"",""ValueType"":""DWord"",""ValueData"":[""2""],""Ensure"":""Present""}","{""Key"":""HKLM:\\SYSTEM\\CurrentControlSet\\Services\\NTDS\\Parameters"",""ValueName"":""LdapEnforceChannelBinding"",""ValueType"":""DWord"",""ValueData"":[""2""],""Ensure"":""Present""}","Key","Explicit policy value check only; no inference about implicit LDAP defaults or effective enforcement."
