"HostName","ControlId","ControlName","Owner","Mode","Status","Action","EvaluatedAtUtc","DesiredState","ActualState","DifferingProperties","Message"
"MM-DC1.mathiasmotron.com","DSC-01-Spooler","Print Spooler stopped and disabled","DSC","Audit","NonCompliant","Test","2026-09-25T13:03:46.4159436Z","{""Name"":""Spooler"",""State"":""Stopped"",""StartupType"":""Disabled""}","{""Name"":""Spooler"",""State"":""Running"",""StartupType"":""Automatic""}","State, StartupType",""
"MM-DC1.mathiasmotron.com","DSC-02-SMB1","SMB server protocol version 1 disabled","GPO","Audit","Compliant","Test","2026-09-25T13:03:47.3341703Z","{""Name"":""Server"",""EnableSMB1Protocol"":false}","{""Name"":""Server"",""EnableSMB1Protocol"":false}","",""
"MM-DC1.mathiasmotron.com","DSC-02-Signing","SMB server signing required","GPO","Audit","Compliant","Test","2026-09-25T13:03:48.2855704Z","{""Name"":""Server"",""RequireSecuritySignature"":true}","{""Name"":""Server"",""RequireSecuritySignature"":true}","",""
"MM-DC1.mathiasmotron.com","DSC-03-Logon","Logon audit: success and failure","GPO","Audit","Compliant","Test","2026-09-25T13:03:48.9802766Z","{""Name"":""Logon"",""AuditSuccess"":true,""AuditFailure"":true}","{""Name"":""Logon"",""AuditSuccess"":true,""AuditFailure"":true}","",""
"MM-DC1.mathiasmotron.com","DSC-03-Accounts","User account management audit: success and failure","GPO","Audit","Compliant","Test","2026-09-25T13:03:49.6617606Z","{""Name"":""User Account Management"",""AuditSuccess"":true,""AuditFailure"":true}","{""Name"":""User Account Management"",""AuditSuccess"":true,""AuditFailure"":true}","",""
"MM-DC1.mathiasmotron.com","DSC-03-DirectoryChanges","Directory service changes audit: success","GPO","Audit","NonCompliant","Test","2026-09-25T13:03:50.3186264Z","{""Name"":""Directory Service Changes"",""AuditSuccess"":true,""AuditFailure"":false}","{""Name"":""Directory Service Changes"",""AuditSuccess"":true,""AuditFailure"":true}","AuditFailure",""
"MM-DC1.mathiasmotron.com","DSC-04-Security","Security log: 1 GiB, overwrite oldest events","DSC","Audit","NonCompliant","Test","2026-09-25T13:03:50.8156623Z","{""LogName"":""Security"",""MaximumSizeInBytes"":1073741824,""LogMode"":""Circular""}","{""LogName"":""Security"",""MaximumSizeInBytes"":134217728,""LogMode"":""Circular""}","MaximumSizeInBytes",""
"MM-DC1.mathiasmotron.com","DSC-04-System","System log: 1 GiB, overwrite oldest events","DSC","Audit","NonCompliant","Test","2026-09-25T13:03:51.3798368Z","{""LogName"":""System"",""MaximumSizeInBytes"":1073741824,""LogMode"":""Circular""}","{""LogName"":""System"",""MaximumSizeInBytes"":20971520,""LogMode"":""Circular""}","MaximumSizeInBytes",""
"MM-DC1.mathiasmotron.com","DSC-04-Directory","Directory Service log: 1 GiB, overwrite oldest events","DSC","Audit","NonCompliant","Test","2026-09-25T13:03:51.9180082Z","{""LogName"":""Directory Service"",""MaximumSizeInBytes"":1073741824,""LogMode"":""Circular""}","{""LogName"":""Directory Service"",""MaximumSizeInBytes"":1052672,""LogMode"":""Circular""}","MaximumSizeInBytes",""
"MM-DC1.mathiasmotron.com","DSC-05-Signing","Explicit LDAP signing policy: Require signing","GPO","Audit","Compliant","Test","2026-09-25T13:03:52.5432619Z","{""ValueName"":""LDAPServerIntegrity"",""Exists"":true,""ValueType"":""DWord"",""ValueData"":2}","{""ValueName"":""LDAPServerIntegrity"",""Exists"":true,""ValueType"":""DWord"",""ValueData"":2}","","Explicit policy value check only; no inference about implicit LDAP defaults or effective enforcement."
"MM-DC1.mathiasmotron.com","DSC-05-ChannelBinding","Explicit LDAP channel binding policy: Always","GPO","Audit","Compliant","Test","2026-09-25T13:03:53.1004520Z","{""ValueName"":""LdapEnforceChannelBinding"",""Exists"":true,""ValueType"":""DWord"",""ValueData"":2}","{""ValueName"":""LdapEnforceChannelBinding"",""Exists"":true,""ValueType"":""DWord"",""ValueData"":2}","","Explicit policy value check only; no inference about implicit LDAP defaults or effective enforcement."
"MM-DC2.mathiasmotron.com","DSC-01-Spooler","Print Spooler stopped and disabled","DSC","Audit","NonCompliant","Test","2026-09-25T13:03:57.7080258Z","{""Name"":""Spooler"",""State"":""Stopped"",""StartupType"":""Disabled""}","{""Name"":""Spooler"",""State"":""Running"",""StartupType"":""Automatic""}","State, StartupType",""
"MM-DC2.mathiasmotron.com","DSC-02-SMB1","SMB server protocol version 1 disabled","GPO","Audit","Compliant","Test","2026-09-25T13:04:00.2173276Z","{""Name"":""Server"",""EnableSMB1Protocol"":false}","{""Name"":""Server"",""EnableSMB1Protocol"":false}","",""
"MM-DC2.mathiasmotron.com","DSC-02-Signing","SMB server signing required","GPO","Audit","Compliant","Test","2026-09-25T13:04:01.7076061Z","{""Name"":""Server"",""RequireSecuritySignature"":true}","{""Name"":""Server"",""RequireSecuritySignature"":true}","",""
"MM-DC2.mathiasmotron.com","DSC-03-Logon","Logon audit: success and failure","GPO","Audit","Compliant","Test","2026-09-25T13:04:03.1388436Z","{""Name"":""Logon"",""AuditSuccess"":true,""AuditFailure"":true}","{""Name"":""Logon"",""AuditSuccess"":true,""AuditFailure"":true}","",""
"MM-DC2.mathiasmotron.com","DSC-03-Accounts","User account management audit: success and failure","GPO","Audit","Compliant","Test","2026-09-25T13:04:07.7940860Z","{""Name"":""User Account Management"",""AuditSuccess"":true,""AuditFailure"":true}","{""Name"":""User Account Management"",""AuditSuccess"":true,""AuditFailure"":true}","",""
"MM-DC2.mathiasmotron.com","DSC-03-DirectoryChanges","Directory service changes audit: success","GPO","Audit","NonCompliant","Test","2026-09-25T13:04:09.1737728Z","{""Name"":""Directory Service Changes"",""AuditSuccess"":true,""AuditFailure"":false}","{""Name"":""Directory Service Changes"",""AuditSuccess"":true,""AuditFailure"":true}","AuditFailure",""
"MM-DC2.mathiasmotron.com","DSC-04-Security","Security log: 1 GiB, overwrite oldest events","DSC","Audit","NonCompliant","Test","2026-09-25T13:04:10.2737698Z","{""LogName"":""Security"",""MaximumSizeInBytes"":1073741824,""LogMode"":""Circular""}","{""LogName"":""Security"",""MaximumSizeInBytes"":134217728,""LogMode"":""Circular""}","MaximumSizeInBytes",""
"MM-DC2.mathiasmotron.com","DSC-04-System","System log: 1 GiB, overwrite oldest events","DSC","Audit","NonCompliant","Test","2026-09-25T13:04:11.3191569Z","{""LogName"":""System"",""MaximumSizeInBytes"":1073741824,""LogMode"":""Circular""}","{""LogName"":""System"",""MaximumSizeInBytes"":20971520,""LogMode"":""Circular""}","MaximumSizeInBytes",""
"MM-DC2.mathiasmotron.com","DSC-04-Directory","Directory Service log: 1 GiB, overwrite oldest events","DSC","Audit","NonCompliant","Test","2026-09-25T13:04:12.4094871Z","{""LogName"":""Directory Service"",""MaximumSizeInBytes"":1073741824,""LogMode"":""Circular""}","{""LogName"":""Directory Service"",""MaximumSizeInBytes"":1052672,""LogMode"":""Circular""}","MaximumSizeInBytes",""
"MM-DC2.mathiasmotron.com","DSC-05-Signing","Explicit LDAP signing policy: Require signing","GPO","Audit","Compliant","Test","2026-09-25T13:04:13.4756894Z","{""ValueName"":""LDAPServerIntegrity"",""Exists"":true,""ValueType"":""DWord"",""ValueData"":2}","{""ValueName"":""LDAPServerIntegrity"",""Exists"":true,""ValueType"":""DWord"",""ValueData"":2}","","Explicit policy value check only; no inference about implicit LDAP defaults or effective enforcement."
"MM-DC2.mathiasmotron.com","DSC-05-ChannelBinding","Explicit LDAP channel binding policy: Always","GPO","Audit","Compliant","Test","2026-09-25T13:04:14.5993341Z","{""ValueName"":""LdapEnforceChannelBinding"",""Exists"":true,""ValueType"":""DWord"",""ValueData"":2}","{""ValueName"":""LdapEnforceChannelBinding"",""Exists"":true,""ValueType"":""DWord"",""ValueData"":2}","","Explicit policy value check only; no inference about implicit LDAP defaults or effective enforcement."
"MM-DC3.mathiasmotron.com","DSC-01-Spooler","Print Spooler stopped and disabled","DSC","Audit","NonCompliant","Test","2026-09-25T13:04:19.5284673Z","{""Name"":""Spooler"",""State"":""Stopped"",""StartupType"":""Disabled""}","{""Name"":""Spooler"",""State"":""Running"",""StartupType"":""Automatic""}","State, StartupType",""
"MM-DC3.mathiasmotron.com","DSC-02-SMB1","SMB server protocol version 1 disabled","GPO","Audit","Compliant","Test","2026-09-25T13:04:21.9794740Z","{""Name"":""Server"",""EnableSMB1Protocol"":false}","{""Name"":""Server"",""EnableSMB1Protocol"":false}","",""
"MM-DC3.mathiasmotron.com","DSC-02-Signing","SMB server signing required","GPO","Audit","Compliant","Test","2026-09-25T13:04:23.7459841Z","{""Name"":""Server"",""RequireSecuritySignature"":true}","{""Name"":""Server"",""RequireSecuritySignature"":true}","",""
"MM-DC3.mathiasmotron.com","DSC-03-Logon","Logon audit: success and failure","GPO","Audit","Compliant","Test","2026-09-25T13:04:25.4120548Z","{""Name"":""Logon"",""AuditSuccess"":true,""AuditFailure"":true}","{""Name"":""Logon"",""AuditSuccess"":true,""AuditFailure"":true}","",""
"MM-DC3.mathiasmotron.com","DSC-03-Accounts","User account management audit: success and failure","GPO","Audit","Compliant","Test","2026-09-25T13:04:30.5659096Z","{""Name"":""User Account Management"",""AuditSuccess"":true,""AuditFailure"":true}","{""Name"":""User Account Management"",""AuditSuccess"":true,""AuditFailure"":true}","",""
"MM-DC3.mathiasmotron.com","DSC-03-DirectoryChanges","Directory service changes audit: success","GPO","Audit","NonCompliant","Test","2026-09-25T13:04:32.2872005Z","{""Name"":""Directory Service Changes"",""AuditSuccess"":true,""AuditFailure"":false}","{""Name"":""Directory Service Changes"",""AuditSuccess"":true,""AuditFailure"":true}","AuditFailure",""
"MM-DC3.mathiasmotron.com","DSC-04-Security","Security log: 1 GiB, overwrite oldest events","DSC","Audit","NonCompliant","Test","2026-09-25T13:04:33.5695786Z","{""LogName"":""Security"",""MaximumSizeInBytes"":1073741824,""LogMode"":""Circular""}","{""LogName"":""Security"",""MaximumSizeInBytes"":134217728,""LogMode"":""Circular""}","MaximumSizeInBytes",""
"MM-DC3.mathiasmotron.com","DSC-04-System","System log: 1 GiB, overwrite oldest events","DSC","Audit","NonCompliant","Test","2026-09-25T13:04:34.8062957Z","{""LogName"":""System"",""MaximumSizeInBytes"":1073741824,""LogMode"":""Circular""}","{""LogName"":""System"",""MaximumSizeInBytes"":20971520,""LogMode"":""Circular""}","MaximumSizeInBytes",""
