"DateTimeUtc","Score","CriticalCount","HighCount","MediumCount","LowCount","TotalFindings"
"2026-01-26T21:43:43.8873376Z","28","0","9","11","5","25"
"2026-01-26T22:09:18.8125983Z","28","0","9","11","5","25"
"2026-01-27T00:19:05.9441189Z","28","0","9","11","5","25"
"2026-01-27T13:12:38.1686524Z","28","0","9","11","5","25"
"2026-01-27T13:25:50.6804348Z","28","0","9","11","5","25"
"2026-01-27T13:28:21.6833810Z","28","0","9","11","5","25"
"2026-01-27T13:46:49.0489762Z","28","0","9","11","5","25"
"2026-01-27T14:19:48.5143992Z","28","0","9","11","5","25"
"2026-01-27T14:35:25.0053159Z","28","0","9","11","5","25"
"2026-01-27T14:49:28.1364234Z","71","0","3","7","0","10"
"2026-01-27T14:53:39.8703821Z","0","0","12","18","5","35"
"2026-01-27T15:06:00.4699890Z","0","0","12","18","5","35"
"2026-01-27T15:18:29.5096959Z","7","0","12","14","5","31"
"2026-01-27T19:34:46.7339470Z","0","2","14","15","5","36"
"2026-01-28T23:30:38.3063104Z","0","2","71","15","5","93"
"2026-01-28T23:34:12.5207818Z","0","2","85","15","5","107"
"2026-01-28T23:47:34.4595994Z","0","2","42","15","5","64"
"2026-01-29T00:02:35.2683565Z","0","2","56","15","5","78"
"2026-01-29T13:34:47.4225257Z","0","2","28","26","5","61"
"2026-01-29T15:54:30.7208193Z","0","2","17","26","5","50"
"2026-01-29T15:58:36.5811970Z","0","2","17","26","5","50"
"2026-01-29T18:25:02.3601108Z","0","2","17","26","5","50"
"2026-01-29T23:24:35.9148886Z","0","2","17","26","5","50"
"2026-01-29T23:35:07.4831708Z","0","2","23","26","5","56"
"2026-01-30T00:21:32.1730416Z","0","2","54","26","5","87"
"2026-01-30T00:23:03.0874127Z","0","2","54","26","5","87"
