"GroupName","SamAccountName","DistinguishedName","DomainDNS","Role","Scope","MemberCountDirect","MemberCountRecursive","HasBroadMembership","BroadMembersSam","HasForeignSecurityPrincipals","ForeignSecurityPrincipalsCount"
"Account Operators","Account Operators","CN=Account Operators,CN=Builtin,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","AccountOperators","Domain","0","0","False","","False","0"
"Administrators","Administrators","CN=Administrators,CN=Builtin,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","Administrators","Domain","4","3","False","","False","0"
"Backup Operators","Backup Operators","CN=Backup Operators,CN=Builtin,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","BackupOperators","Domain","0","0","False","","False","0"
"DnsAdmins","DnsAdmins","CN=DnsAdmins,CN=Users,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","DnsAdmins","Domain","0","0","False","","False","0"
"Domain Admins","Domain Admins","CN=Domain Admins,CN=Users,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","DomainAdmins","Domain","2","2","False","","False","0"
"Group Policy Creator Owners","Group Policy Creator Owners","CN=Group Policy Creator Owners,CN=Users,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","GPCreatorOwners","Domain","1","1","False","","False","0"
"Print Operators","Print Operators","CN=Print Operators,CN=Builtin,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","PrintOperators","Domain","0","0","False","","False","0"
"Server Operators","Server Operators","CN=Server Operators,CN=Builtin,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","ServerOperators","Domain","0","0","False","","False","0"
"Account Operators","Account Operators","CN=Account Operators,CN=Builtin,DC=mathiasmotron,DC=com","mathiasmotron.com","AccountOperators","Domain","0","0","False","","False","0"
"Administrators","Administrators","CN=Administrators,CN=Builtin,DC=mathiasmotron,DC=com","mathiasmotron.com","Administrators","Domain","0","7","False","","False","0"
"Backup Operators","Backup Operators","CN=Backup Operators,CN=Builtin,DC=mathiasmotron,DC=com","mathiasmotron.com","BackupOperators","Domain","0","0","False","","False","0"
"DnsAdmins","DnsAdmins","CN=DnsAdmins,CN=Users,DC=mathiasmotron,DC=com","mathiasmotron.com","DnsAdmins","Domain","0","0","False","","False","0"
"Domain Admins","Domain Admins","CN=Domain Admins,CN=Users,DC=mathiasmotron,DC=com","mathiasmotron.com","DomainAdmins","Domain","4","3","False","","False","0"
"Enterprise Admins","Enterprise Admins","CN=Enterprise Admins,CN=Users,DC=mathiasmotron,DC=com","mathiasmotron.com","EnterpriseAdmins","Forest","2","1","False","","False","0"
"Group Policy Creator Owners","Group Policy Creator Owners","CN=Group Policy Creator Owners,CN=Users,DC=mathiasmotron,DC=com","mathiasmotron.com","GPCreatorOwners","Domain","1","1","False","","False","0"
"Print Operators","Print Operators","CN=Print Operators,CN=Builtin,DC=mathiasmotron,DC=com","mathiasmotron.com","PrintOperators","Domain","0","0","False","","False","0"
"Schema Admins","Schema Admins","CN=Schema Admins,CN=Users,DC=mathiasmotron,DC=com","mathiasmotron.com","SchemaAdmins","Forest","2","1","False","","False","0"
"Server Operators","Server Operators","CN=Server Operators,CN=Builtin,DC=mathiasmotron,DC=com","mathiasmotron.com","ServerOperators","Domain","0","0","False","","False","0"
